Country Name,ISO3,Series Code,CorruptionControlEstimate
Afghanistan,AFG,CC.EST,-1.1423769
Albania,ALB,CC.EST,-0.555924177
Algeria,DZA,CC.EST,-0.614184439
American Samoa,ASM,CC.EST,1.325616956
Andorra,AND,CC.EST,1.325616956
Angola,AGO,CC.EST,-0.655345798
Anguilla,AIA,CC.EST,0.680942774
Antigua and Barbuda,ATG,CC.EST,0.26372695
Argentina,ARG,CC.EST,-0.400777549
Armenia,ARM,CC.EST,0.072149873
Aruba,ABW,CC.EST,0.834079266
Australia,AUS,CC.EST,1.73749423
Austria,AUT,CC.EST,1.271236777
Azerbaijan,AZE,CC.EST,-0.827584863
"Bahamas, The",BHS,CC.EST,1.181445718
Bahrain,BHR,CC.EST,0.168159813
Bangladesh,BGD,CC.EST,-0.962003231
Barbados,BRB,CC.EST,1.242948413
Belarus,BLR,CC.EST,-0.23533681
Belgium,BEL,CC.EST,1.484489679
Belize,BLZ,CC.EST,-0.304920167
Benin,BEN,CC.EST,-0.154652014
Bermuda,BMU,CC.EST,1.325616956
Bhutan,BTN,CC.EST,1.553735256
Bolivia,BOL,CC.EST,-0.86410296
Bosnia and Herzegovina,BIH,CC.EST,-0.643698514
Botswana,BWA,CC.EST,0.685204029
Brazil,BRA,CC.EST,-0.477816075
Brunei Darussalam,BRN,CC.EST,1.246438384
Bulgaria,BGR,CC.EST,-0.235711768
Burkina Faso,BFA,CC.EST,-0.059376009
Burundi,BDI,CC.EST,-1.580753326
Cabo Verde,CPV,CC.EST,1.035422206
Cambodia,KHM,CC.EST,-1.176956654
Cameroon,CMR,CC.EST,-1.09271419
Canada,CAN,CC.EST,1.64609468
Cayman Islands,CYM,CC.EST,0.499766856
Central African Republic,CAF,CC.EST,-1.226334929
Chad,TCD,CC.EST,-1.477722049
Chile,CHL,CC.EST,0.98372668
China,CHN,CC.EST,0.053693742
Colombia,COL,CC.EST,-0.344050169
Comoros,COM,CC.EST,-1.287278533
"Congo, Dem. Rep.",COD,CC.EST,-1.552153826
"Congo, Rep.",COG,CC.EST,-1.37306428
Cook Islands,COK,CC.EST,..
Costa Rica,CRI,CC.EST,0.495704889
Cote d'Ivoire,CIV,CC.EST,-0.371892631
Croatia,HRV,CC.EST,0.061275687
Cuba,CUB,CC.EST,-0.009721875
Cyprus,CYP,CC.EST,0.394521177
Czech Republic,CZE,CC.EST,0.641104996
Denmark,DNK,CC.EST,2.366175175
Djibouti,DJI,CC.EST,-0.782866001
Dominica,DMA,CC.EST,0.576153934
Dominican Republic,DOM,CC.EST,-0.569274545
Ecuador,ECU,CC.EST,-0.573393404
"Egypt, Arab Rep.",EGY,CC.EST,-0.684838116
El Salvador,SLV,CC.EST,-0.532646835
Equatorial Guinea,GNQ,CC.EST,-1.567582011
Eritrea,ERI,CC.EST,-1.236861944
Estonia,EST,CC.EST,1.535825491
Eswatini,SWZ,CC.EST,-0.650570393
Ethiopia,ETH,CC.EST,-0.397181958
Fiji,FJI,CC.EST,0.47165674
Finland,FIN,CC.EST,2.270076752
France,FRA,CC.EST,1.310407043
French Guiana,GUF,CC.EST,0.933347523
Gabon,GAB,CC.EST,-0.850754976
"Gambia, The",GMB,CC.EST,-0.358450145
Georgia,GEO,CC.EST,0.688035369
Germany,DEU,CC.EST,1.813231826
Ghana,GHA,CC.EST,-0.106090412
Greece,GRC,CC.EST,0.207244009
