Country Name,ISO3,CC.EST,GE.EST,RL.EST
Afghanistan,AFG,-1.1423769,-1.634369612,-1.871436119
Albania,ALB,-0.555924177,-0.003363639,-0.256100863
Algeria,DZA,-0.614184439,-0.620759845,-0.816039979
American Samoa,ASM,1.325616956,0.697109878,1.205229878
Andorra,AND,1.325616956,1.816250086,1.715106249
Angola,AGO,-0.655345798,-1.059368968,-0.952415645
Anguilla,AIA,0.680942774,0.976894975,0.440415442
Antigua and Barbuda,ATG,0.26372695,-0.142245308,0.342992604
Argentina,ARG,-0.400777549,-0.356661767,-0.462304175
Armenia,ARM,0.072149873,-0.249556035,-0.095904246
Aruba,ABW,0.834079266,1.132214189,1.279571652
Australia,AUS,1.73749423,1.512928247,1.674290538
Austria,AUT,1.271236777,1.570008159,1.788035512
Azerbaijan,AZE,-0.827584863,0.247684523,-0.584836721
"Bahamas, The",BHS,1.181445718,0.461800665,0.102244459
Bahrain,BHR,0.168159813,0.717128277,0.470811009
Bangladesh,BGD,-0.962003231,-0.627411544,-0.611260772
Barbados,BRB,1.242948413,0.538301587,0.374692202
Belarus,BLR,-0.23533681,-0.770816863,-1.100141525
Belgium,BEL,1.484489679,1.125090241,1.325958967
Belize,BLZ,-0.304920167,-0.488973141,-0.778173029
Benin,BEN,-0.154652014,-0.206672296,-0.593543828
Bermuda,BMU,1.325616956,1.536465049,0.695353568
Bhutan,BTN,1.553735256,0.796326637,0.635634661
Bolivia,BOL,-0.86410296,-0.731921494,-1.163192868
Bosnia and Herzegovina,BIH,-0.643698514,-1.041251063,-0.278892189
Botswana,BWA,0.685204029,0.354068398,0.481632829
Brazil,BRA,-0.477816075,-0.460291952,-0.280396819
Brunei Darussalam,BRN,1.246438384,1.454833269,0.890205741
Bulgaria,BGR,-0.235711768,-0.139183074,-0.043917593
Burkina Faso,BFA,-0.059376009,-0.726333022,-0.438472688
Burundi,BDI,-1.580753326,-1.331090689,-1.29398632
